OBJECTID,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_3409_LABEL,Shape__Area,Shape__Length
3001,247006,AUGHWILLIAM, ,WEXFORD,Loch Garman,Leinster,695180.287713613,616289.230043841,2AE196291BD413A3E055000000000001,14095,247006,Aughwilliam,0.002065103107063,0.275645899905192
3002,267020,BLACKROCK-CARYSFORT, ,DUBLIN,Baile Átha Cliath,Leinster,721024.524290722,727734.553337762,2AE196291CBE13A3E055000000000001,05009,267020,Blackrock-Carysfort,0.000176105714185,0.059501065022047
3003,97028,COOLAGHMORE,An Chuailleach Mhór,KILKENNY,Cill Chainnigh,Leinster,640258.501531936,637693.505219255,2AE1962923CC13A3E055000000000001,07006,97028,Coolaghmore,0.003449223999074,0.311314583005913
3004,57129,RATHMULLAN, ,DONEGAL,Dún na nGall,Ulster,628313.935273137,929172.005661047,2AE19629209713A3E055000000000001,33125,57129,Rathmullan,0.002535852468737,0.286709394222093
3005,77005,ARDAGH, ,KERRY,Ciarraí,Munster,483502.992050644,635898.045774622,2AE19629239213A3E055000000000001,19093,77005,Ardagh,0.002046439589049,0.29314213752065
3006,177001,AGHABOG,Achadh Bog,MONAGHAN,Muineachán,Ulster,659479.788431437,821863.816083927,2AE196291A6313A3E055000000000001,34034,177001,Aghabog,0.002990662045163,0.304107489540686
3007,247077,KILNAHUE, ,WEXFORD,Loch Garman,Leinster,710343.198684391,662018.848222025,2AE196291E7D13A3E055000000000001,14058,247077,Kilnahue,0.002111372581273,0.284885850563648
3008,87033,DROICHEAD NUA RURAL, ,KILDARE,Cill Dara,Leinster,682696.30092373,713163.275751818,2AE1962922B213A3E055000000000001,06065,87033,Droichead Nua (Newbridge) Rural,0.00258354648795,0.303062827319288
3009,157141,SRAHEEN, ,MAYO,Maigh Eo,Connacht,524104.684907164,805352.722110978,2AE19629188E13A3E055000000000001,29032,157141,Sraheen,0.003555233594974,0.331379362562263
3010,27022,CASTLERAHAN, ,CAVAN,An Cabhán,Ulster,654110.933905636,786561.108231558,2AE196291D8F13A3E055000000000001,32030,27022,Castlerahan,0.003911153445483,0.413155208105953
3011,97013,BAUNMORE,An Bábhún Mór,KILKENNY,Cill Chainnigh,Leinster,624503.203291554,667565.937848404,2AE19629220013A3E055000000000001,07090,97013,Baunmore,0.002317374458766,0.287327889014838
3012,247084,LIMERICK, ,WEXFORD,Loch Garman,Leinster,714399.273487603,666953.160567704,2AE196291E9513A3E055000000000001,14059,247084,Limerick,0.002807287748195,0.296478957805864
3013,228016,GRACEDIEU,Gracedieu,WATERFORD,Port Láirge,Munster,657329.161942648,612860.747786429,2AE196291BA213A3E055000000000001,24016,228016,Gracedieu,0.000944649927414,0.130862488365994
3014,67202,SLIEVEANEENA,Sliabh an Aonaigh,GALWAY,Gaillimh,Connacht,515912.207726097,733252.957227345,2AE19629231913A3E055000000000001,27062,67202,Sliabh an Aonaigh,0.007817072589225,0.679786792834506
3015,247027,BREE, ,WEXFORD,Loch Garman,Leinster,694052.349783736,633713.921970016,2AE196291E6413A3E055000000000001,14014,247027,Bree,0.003795763693378,0.333490601397351
3016,167020,CLONMACDUFF, ,MEATH,An Mhí,Leinster,679695.79358551,762918.640948974,2AE19629186013A3E055000000000001,11076,167020,Clonmacduff,0.001868127314868,0.276872584422501
3017,27024,CAVAN RURAL, ,CAVAN,An Cabhán,Ulster,641356.479984805,806259.755782044,2AE196291DA913A3E055000000000001,32048,27024,Cavan Rural,0.00498856212267,0.505342687469254
3018,47037,BALLYNAMONA, ,CORK,Corcaigh,Munster,557284.728062009,590892.885068379,2AE196291F6613A3E055000000000001,18223,47037,Ballynamona,0.005375528197197,0.527519005811434
3019,267049,CLONDALKIN-DUNAWLEY, ,DUBLIN,Baile Átha Cliath,Leinster,704591.14202693,731650.358365839,2AE196291CFE13A3E055000000000001,03006,267049,Clondalkin-Dunawley,0.000640424685648,0.1454082046345
3020,17019,GARRYHILL, ,CARLOW,Ceatharlach,Leinster,679356.103019755,657921.911160026,2AE19629187413A3E055000000000001,01025,17019,Garryhill,0.003173918765,0.327619168451429
3021,137035,GRANARD URBAN, ,LONGFORD,An Longfort,Leinster,633183.034991402,781029.973479602,2AE19629190413A3E055000000000001,09027,137035,Granard Urban,0.001106892612021,0.166064560963437
3022,48065,TIVOLI B, ,CORK,Corcaigh,Munster,571381.615544468,572661.168723961,2AE1962921AF13A3E055000000000001,17065,48065,Tivoli B,0.000234085382755,0.097728562746185
3023,67113,KILBEACANTY, ,GALWAY,Gaillimh,Connacht,550643.50179054,699679.796415005,2AE19629237C13A3E055000000000001,27091,67113,Kilbeacanty,0.002450946342355,0.28590980897142
3024,67008,ANNAGH, ,GALWAY,Gaillimh,Connacht,570625.632569933,738559.024317936,2AE19629204E13A3E055000000000001,27135,67008,Annagh,0.003114782538136,0.29711949502692
3025,87072,NARRAGHMORE, ,KILDARE,Cill Dara,Leinster,678397.347521378,699210.681283311,2AE19629225C13A3E055000000000001,06029,87072,Narraghmore,0.002255178120649,0.282950926962708
3026,37045,CRUSHEEN, ,CLARE,An Clár,Munster,539735.31390952,688767.660252598,2AE196291FBE13A3E055000000000001,16028,37045,Crusheen,0.003863047714114,0.386416268095913
3027,267105,MALAHIDE EAST, ,DUBLIN,Baile Átha Cliath,Leinster,723322.998977996,745302.079004873,2AE196291DE013A3E055000000000001,04029,267105,Malahide East,0.000442381428213,0.10883760765591
3028,217084,GRAIGUE,An Ghráig,TIPPERARY,Tiobraid Árann,Munster,599055.292406865,705207.189171536,2AE196291C4113A3E055000000000001,22014,217084,Graigue,0.00247992017513,0.316235050400854
3029,227040,GARDENMORRIS,Garrán Mhuiris,WATERFORD,Port Láirge,Munster,644639.497630833,602057.97101229,2AE196291B5313A3E055000000000001,25044,227040,Gardenmorris,0.001764276219751,0.30399169388567
3030,157016,BALLINA URBAN, ,MAYO,Maigh Eo,Connacht,524095.887854158,818950.260526291,2AE19629197613A3E055000000000001,29002,157016,Ballina Urban,0.000376754582113,0.097858111527353
3031,268154,WALKINSTOWN A, ,DUBLIN,Baile Átha Cliath,Leinster,710798.988840796,731589.172171201,2AE196291E0613A3E055000000000001,02158,268154,Walkinstown A,0.000133116038056,0.053180972891219
3032,47134,DRINAGH, ,CORK,Corcaigh,Munster,524655.884609202,547464.262750645,2AE196291EFE13A3E055000000000001,18113,47134,Drinagh,0.001927191204796,0.244718902912894
3033,67134,KILLIMOR, ,GALWAY,Gaillimh,Connacht,561874.467704338,729631.680156335,2AE1962922F413A3E055000000000001,27118,67134,Killimor,0.003549597765243,0.412276345614825
3034,267115,RATHFARNHAM-HERMITAGE, ,DUBLIN,Baile Átha Cliath,Leinster,714846.526453703,727747.526037271,2AE196291E0213A3E055000000000001,03024,267115,Rathfarnham-Hermitage,0.000104816851786,0.045779191082621
3035,67031,BALLYNAPARK, ,GALWAY,Gaillimh,Connacht,546899.217058192,743599.97305018,2AE19629208E13A3E055000000000001,27184,67031,Ballynapark,0.002782775107955,0.381040357951605
3036,267063,DALKEY-BULLOCK, ,DUBLIN,Baile Átha Cliath,Leinster,726067.219163286,727346.767440714,2AE196291D2013A3E055000000000001,05033,267063,Dalkey-Bullock,7.7158641901e-05,0.042137858423268
3037,47213,KILNAMANAGH, ,CORK,Corcaigh,Munster,455715.64005127,541624.987286884,2AE1962921E013A3E055000000000001,18053,47213,Kilnamanagh,0.004764194459848,0.889569992832626
